Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S98495993,Rose-breasted Grosbeak,Pheucticus ludovicianus,34557,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1984-05-30,05:45 PM,eBird - Traveling Count,120,1,3.219,,7,,,"BBC trip, leader: O. Komar",
S128208839,Spotted Sandpiper,Actitis macularius,6126,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1984-06-02,08:00 AM,eBird - Traveling Count,240,1,16.093,,13,,,"BBC trip, leader: Dick McHale. Heavy rain,",
S128208864,Snowy Egret,Egretta thula,7645,4,US-MA,Nantucket,L17705156,BBC pelagic: Harwichport to Pollock Rip and Chatham,41.4231634,-69.9461987,1984-06-03,08:00 AM,eBird - Traveling Count,360,1,32.186,,50,,,"BBC trip, leader: Herman D'Entremont",
S128208903,Long-billed Curlew,Numenius americanus,6021,1,US-MA,Barnstable,L207388,Monomoy NWR,41.572806,-69.9918665,1984-06-09,08:00 AM,eBird - Traveling Count,480,1,4.828,,18,,,"BBC trip, leader: Bill Drummond. All of us had excellent looks at the Long-Billed Curlew - the purpose of the trip and a state bird for all.",
S130024769,Scissor-tailed Flycatcher,Tyrannus forficatus,17489,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1984-07-08,07:00 AM,eBird - Traveling Count,240,1,16.093,,22,,,"BBC trip, leader: Bill Drummond. The big highlights of the trip were the reliable Scissor-tailed FC opposite the salt pannes and the unexpected Black Skimmer in the ponds south of Cross Farm Hill",
S130021308,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,33563,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1984-08-19,07:00 AM,eBird - Traveling Count,480,1,16.093,,2,, imm. Hellcat,"BBC Trip, Leader: Douglas Resnick. 1 immature yellow-headed blackbird",
S130021124,Eurasian Curlew,Numenius arquata,6026,1,US-MA,Barnstable,L343754,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1984-09-22,08:00 AM,eBird - Traveling Count,480,1,3.219,,2,, South end of North Island. Independent sighting later at different location,"BBC Trip, Leader: James Barton",
S130021127,Baird's Sandpiper,Calidris bairdii,6217,7,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1984-09-23,08:00 AM,eBird - Traveling Count,480,1,24.14,,20,,,"BBC Trip, Leader: Ann Blaisdell and Ida Girunas. A great day with great birds. The peregrine falcon put on a good show for us. A great way to end summer and start fall.",
S130020696,Pied-billed Grebe,Podilymbus podiceps,6855,1,US-MA,Bristol,L4665472,Westport general area,41.5892562,-71.082058,1984-10-07,09:00 AM,eBird - Traveling Count,480,1,48.279,,9,,,"BBC trip, leader: Bill Drummond. Westport and Dartmouth. A beautiful birding day. We worked hard for the Seaside sparrow at Allen's Pond.",
S130020316,Black-legged Kittiwake,Rissa tridactyla,6449,12,US-MA,Barnstable,L111983,Barnstable,41.80615,-69.97195,1984-11-24,08:00 AM,eBird - Traveling Count,480,1,80.465,,34,,,"BBC Trip, leader:  Bill Drummond.  Beautiful day birding, Provincetown, Truro, Wellfleet, Eastham",
S72115587,Garganey,Spatula querquedula,479,1,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1985-06-24,05:30 PM,eBird - Traveling Count,150,1,9.656,,11,,,"BBC trip, leaders: avid & Dennis Oliver; Although there was a constant threat of rain, it didn't, but it was windy and cool. The sunset (as sual) was magnificent. Besides the birds, 3 deer and a red fox were sighted.",
S72115588,Wilson's Phalarope,Phalaropus tricolor,6119,1,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1985-06-30,06:30 AM,eBird - Traveling Count,180,1,9.656,,9,,,"BBC trip, leaders: David & Dennis Oliver; Highlights were 38 Least Terns at one time resting and feeding in the salt pans, a singing Seaside Sparrow perched and een in scope for 5 minutes. Also a pair of Kestrels with 2 young at the wardens.",
S71892411,Short-billed Dowitcher,Limnodromus griseus,6057,1,US-MA,Essex,L111987,Essex,42.65736,-70.92672,1985-09-02,08:00 AM,eBird - Traveling Count,240,1,32.186,,13,,,"BBC trip, leader: Jim Berry. Ipswich and Essex.",
